1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 0 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 0 collisions, 2 Longest Chain
4 resizes, 0.75 load factor, 0 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
1 resizes, 1.0 load factor, 0 collisions, 0 Longest Chain
2 resizes, 1.0 load factor, 1 collisions, 1 Longest Chain
3 resizes, 0.75 load factor, 1 collisions, 2 Longest Chain
